Freq1,S13,Freq2,S14,Freq3,S23,Label
2.1229,-34.866,2.1865,-38.623,2.0753,-40.176,0
2.0813,-35.903,2.2170,-39.635,2.1615,-38.372,0
2.0287,-36.980,2.3478,-37.872,1.9902,-42.021,0
2.2842,-33.864,2.5470,-36.494,2.4209,-37.107,0
2.3780,-32.668,2.5310,-35.679,2.4992,-36.200,0
2.5507,-31.479,2.7404,-37.955,2.6949,-38.258,0
2.7626,-32.451,2.8450,-39.157,2.8124,-39.671,0
2.9718,-33.468,2.9497,-40.374,2.9445,-41.243,0
3.1586,-32.520,3.0675,-41.622,3.1060,-42.640,0
3.2757,-31.382,3.1983,-42.916,3.2969,-44.045,0
3.3811,-30.227,3.3292,-44.302,3.5582,-44.814,0
3.5562,-29.491,3.5356,-45.494,3.8548,-43.546,0
3.7418,-31.100,3.7871,-44.557,4.0751,-42.211,0
3.8577,-32.339,3.9834,-43.329,4.2513,-40.873,0
3.9736,-33.527,4.1666,-42.034,4.5009,-39.299,0
4.1666,-34.357,4.3498,-40.699,4.8239,-38.415,0
4.4158,-34.672,4.5853,-39.325,5.1469,-38.329,0
4.6601,-35.269,4.8731,-38.557,5.4699,-38.544,0
4.9975,-36.214,5.1610,-38.409,5.7782,-37.306,0
5.2539,-36.104,5.4489,-38.735,6.0866,-36.077,0
5.5103,-35.756,5.7236,-37.929,6.4184,-35.318,0
5.7670,-35.111,5.9984,-36.704,6.6592,-35.832,0
6.0236,-34.512,6.2863,-35.936,6.9969,-37.323,0
6.2799,-34.356,6.5741,-35.871,7.3199,-37.520,0
6.5363,-34.246,6.8620,-37.072,7.6429,-37.393,0
6.7929,-33.587,7.1498,-37.898,7.9512,-37.253,0
7.2592,-33.070,7.4377,-38.162,8.3183,-38.510,0
7.5153,-33.386,7.7256,-38.029,8.6413,-38.875,0
7.7244,-34.594,8.0134,-37.912,8.9643,-38.269,0
7.8870,-35.709,8.2915,-38.671,9.2763,-37.852,0
8.0031,-36.580,8.5891,-39.173,9.5369,-38.139,0
8.0373,-38.042,8.8770,-38.603,9.7718,-39.619,0
8.0950,-39.225,9.1648,-38.065,10.021,-40.929,0
8.1583,-40.735,9.4723,-37.745,10.344,-41.137,0
8.1985,-41.818,9.6751,-38.908,10.667,-41.219,0
8.2562,-42.970,9.8322,-40.205,10.990,-41.509,0
8.2868,-43.991,10.028,-41.445,11.347,-42.406,0
8.3298,-45.014,10.342,-41.149,11.622,-43.516,0
8.3758,-46.172,10.630,-40.611,11.872,-44.719,0
8.4172,-47.200,10.918,-39.957,,,0
8.4586,-48.427,11.206,-39.992,,,0
8.5207,-49.889,11.494,-40.614,,,0
8.5983,-51.263,11.716,-42.253,,,0
8.6825,-52.708,11.905,-43.259,,,0
8.7634,-54.008,11.978,-44.486,,,0
8.8326,-55.350,2.0896,-41.322,,,0
8.9285,-56.542,,,,,0
9.0308,-57.288,,,,,0
9.2285,-55.847,,,,,0
9.3455,-54.760,,,,,0
9.5323,-53.993,,,,,0
9.7179,-55.656,,,,,0
9.8221,-56.844,,,,,0
10.149,-56.013,,,,,0
10.219,-54.495,,,,,0
10.298,-52.939,,,,,0
10.372,-51.478,,,,,0
10.419,-50.383,,,,,0
10.478,-48.956,,,,,0
10.654,-47.746,,,,,0
10.911,-46.817,,,,,0
11.167,-46.854,,,,,0
11.411,-47.566,,,,,0
11.550,-48.764,,,,,0
11.617,-49.826,,,,,0
11.677,-50.954,,,,,0
11.747,-52.280,,,,,0
11.839,-53.446,,,,,0
11.964,-56.247,,,,,0
11.882,-55.075,,,,,1
9.9972,-58.657,,,,,1
10.067,-57.463,,,,,1
2.5000,-31.547,2.0600,-42.050,2.0571,-41.899,1
2.5442,-31.146,2.1908,-40.566,2.1761,-40.599,1
